team,season,name,team,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
MIN,2023,MIN,MIN,Team Level,other,37,0.45,0.55,0.52,4992.0,74.19,12.33,5.39,13.84,2.44,41.27,24.73,11.55,12.33,11.55,67.0,33.0,38.0,138.0,8.0,6.0,1.0,14.0,0.0,42.0,30.0,59.0,92.0,4.0,8.0,55.0,17.0,11.0,14.0,57.0,25.0,18.0,2.18,3.15,7.0,1.0,2.0,5.0,138.0,100.0,100.0,7.0,1.61,2.97,2.97,10.97,10.97,10.66,67.23,14.88,4.64,12.49,2.3,33.09,23.59,13.98,14.88,13.98,65.0,26.0,24.0,115.0,14.0,6.0,2.0,9.0,2.0,33.0,27.0,51.0,77.0,2.0,4.0,62.0,14.0,12.0,11.0,47.0,22.0,22.0,1.9,2.76,10.22,2.0,3.0,9.0,115.0,91.0,91.0,3.0,1.39,1.92,1.92,14.36,14.36,13.64
MIN,2023,MIN,MIN,Team Level,all,37,0.5,0.51,0.5,135545.0,1185.29,117.26,84.92,273.57,38.96,646.1,464.19,109.54,116.99,109.29,1113.0,512.0,670.0,2295.0,109.0,109.0,11.0,217.0,6.0,599.0,585.0,1004.0,1516.0,165.0,392.0,956.0,621.0,218.0,282.0,1176.0,324.0,125.0,33.1,40.49,43.67,30.0,47.0,32.0,2287.08,1625.0,1618.78,130.0,19.36,23.96,23.96,112.67,112.4,107.47,1167.73,116.09,81.19,273.49,38.86,640.08,454.29,111.24,117.16,112.28,1123.0,481.0,627.0,2231.0,118.0,96.0,10.0,229.0,11.0,538.0,612.0,1005.0,1486.0,152.0,365.0,1123.0,551.0,207.0,264.0,1201.0,279.0,124.0,34.81,34.89,46.4,45.0,35.0,38.0,2255.45,1604.0,1624.14,141.0,18.3,21.88,21.88,112.51,113.46,110.43
MIN,2023,MIN,MIN,Team Level,5on5,37,0.51,0.51,0.5,106913.0,851.27,70.89,56.28,204.63,27.77,463.47,349.96,69.01,70.62,68.76,794.0,379.0,521.0,1694.0,79.0,61.0,8.0,150.0,4.0,432.0,447.0,715.0,1094.0,145.0,349.0,698.0,571.0,178.0,225.0,875.0,241.0,57.0,24.97,30.26,15.67,25.0,40.0,14.0,1686.08,1173.0,1166.78,108.0,11.64,12.64,13.01,69.52,69.25,68.15,850.26,67.14,55.21,210.04,28.2,466.23,344.19,65.2,68.22,66.24,817.0,354.0,487.0,1658.0,68.0,62.0,3.0,192.0,8.0,381.0,460.0,749.0,1103.0,130.0,316.0,844.0,500.0,164.0,220.0,917.0,196.0,58.0,26.35,24.6,16.19,35.0,23.0,10.0,1682.45,1171.0,1191.14,123.0,11.42,13.24,13.24,65.32,66.27,65.25
MIN,2023,MIN,MIN,Team Level,4on5,37,0.07,0.09,0.11,11662.0,27.96,2.48,1.43,4.07,0.85,8.43,19.74,2.35,2.48,2.35,32.0,5.0,5.0,42.0,2.0,0.0,0.0,2.0,0.0,13.0,20.0,30.0,35.0,3.0,6.0,81.0,25.0,24.0,14.0,27.0,6.0,4.0,0.53,0.74,1.2,1.0,1.0,0.0,42.0,37.0,37.0,13.0,0.34,0.0,0.0,2.81,2.81,2.66,224.9,31.74,20.17,47.1,7.57,133.11,69.29,29.75,31.74,29.75,216.0,93.0,106.0,415.0,32.0,28.0,5.0,27.0,1.0,122.0,99.0,184.0,277.0,11.0,24.0,122.0,8.0,9.0,21.0,213.0,55.0,41.0,5.92,6.65,19.18,6.0,8.0,18.0,415.0,309.0,309.0,3.0,5.22,6.72,6.72,30.25,30.25,28.96
MIN,2023,MIN,MIN,Team Level,5on4,37,0.93,0.91,0.91,11978.0,231.87,31.56,21.83,51.03,7.9,132.92,69.76,26.62,31.56,26.62,220.0,95.0,106.0,421.0,20.0,42.0,2.0,51.0,2.0,112.0,88.0,200.0,295.0,13.0,29.0,122.0,8.0,5.0,29.0,217.0,52.0,46.0,5.41,6.35,19.8,3.0,4.0,13.0,421.0,315.0,315.0,2.0,5.77,8.34,7.97,29.36,29.36,26.0,25.34,2.32,1.17,3.85,0.8,7.65,17.22,2.32,2.32,2.32,25.0,8.0,10.0,43.0,4.0,0.0,0.0,1.0,0.0,2.0,26.0,21.0,29.0,9.0,21.0,95.0,29.0,22.0,12.0,24.0,6.0,3.0,0.63,0.88,0.82,2.0,1.0,1.0,43.0,33.0,33.0,12.0,0.27,0.0,0.0,2.59,2.59,2.59
ANA,2023,ANA,ANA,Team Level,other,38,0.47,0.52,0.53,7352.0,101.01,19.18,7.69,19.65,3.38,54.53,31.57,16.87,19.18,16.87,93.0,43.0,46.0,182.0,16.0,15.0,3.0,14.0,2.0,51.0,38.0,77.0,120.0,3.0,6.0,64.0,18.0,7.0,13.0,83.0,27.0,26.0,3.2,3.38,12.6,4.0,3.0,9.0,182.0,136.0,136.0,5.0,2.14,4.72,4.56,16.76,16.76,15.28,90.75,21.78,6.23,16.97,3.35,45.2,29.48,18.19,21.78,18.19,85.0,38.0,48.0,171.0,15.0,9.0,0.0,17.0,1.0,41.0,40.0,70.0,108.0,1.0,2.0,84.0,17.0,14.0,19.0,58.0,31.0,34.0,2.43,3.79,15.55,4.0,4.0,7.0,171.0,123.0,123.0,9.0,1.84,3.33,3.33,20.28,20.28,17.67
ANA,2023,ANA,ANA,Team Level,all,38,0.45,0.46,0.47,137707.0,1150.99,112.44,75.23,277.9,39.02,613.97,458.43,106.19,111.33,105.11,1116.0,461.0,548.0,2125.0,94.0,120.0,14.0,246.0,4.0,553.0,560.0,1022.0,1483.0,198.0,456.0,1057.0,706.0,229.0,292.0,1175.0,264.0,138.0,32.92,32.35,47.17,28.0,28.0,38.0,2085.02,1577.0,1548.33,137.0,16.86,27.77,27.77,101.53,100.44,97.11,1293.2,134.87,90.73,306.14,43.75,702.25,500.26,126.65,137.02,128.73,1238.0,540.0,683.0,2461.0,127.0,133.0,11.0,249.0,5.0,611.0,653.0,1111.0,1651.0,162.0,373.0,1111.0,522.0,227.0,306.0,1275.0,355.0,148.0,36.91,45.08,52.88,44.0,50.0,33.0,2516.02,1778.0,1818.1,143.0,20.6,27.55,27.55,127.93,130.02,124.72
ANA,2023,ANA,ANA,Team Level,5on5,38,0.47,0.48,0.48,104083.0,851.9,70.78,51.87,217.69,29.06,451.97,346.63,68.1,69.67,67.03,827.0,341.0,409.0,1577.0,54.0,91.0,8.0,191.0,2.0,399.0,431.0,773.0,1114.0,176.0,405.0,755.0,649.0,195.0,232.0,901.0,187.0,80.0,24.5,23.08,23.19,21.0,20.0,13.0,1537.02,1168.0,1139.33,106.0,10.75,20.46,20.73,60.8,59.71,58.74,905.38,78.43,59.42,226.55,30.36,484.57,367.67,75.19,80.57,77.28,865.0,382.0,484.0,1731.0,80.0,98.0,8.0,174.0,3.0,427.0,465.0,785.0,1167.0,142.0,330.0,790.0,473.0,174.0,240.0,935.0,235.0,77.0,27.03,30.31,21.09,32.0,38.0,10.0,1786.02,1247.0,1287.1,122.0,12.35,19.56,19.74,71.04,73.14,71.68
ANA,2023,ANA,ANA,Team Level,4on5,38,0.1,0.11,0.13,15165.0,41.46,3.45,1.92,6.48,1.32,12.63,29.19,3.4,3.45,3.4,45.0,10.0,8.0,63.0,4.0,2.0,0.0,5.0,0.0,12.0,32.0,41.0,51.0,5.0,15.0,150.0,32.0,21.0,20.0,43.0,5.0,7.0,1.03,0.52,1.9,0.0,1.0,3.0,63.0,55.0,55.0,19.0,0.46,0.32,0.32,3.59,3.59,3.56,269.69,30.99,23.58,59.21,9.21,164.49,85.51,29.64,30.99,29.64,263.0,110.0,141.0,514.0,31.0,24.0,3.0,58.0,1.0,134.0,125.0,232.0,342.0,13.0,29.0,135.0,9.0,13.0,36.0,265.0,76.0,32.0,6.97,9.1,14.93,7.0,8.0,16.0,514.0,373.0,373.0,2.0,6.07,4.25,4.07,32.99,32.99,31.75
ANA,2023,ANA,ANA,Team Level,5on4,38,0.84,0.87,0.86,11107.0,156.62,19.04,13.75,34.07,5.25,94.85,51.04,17.82,19.04,17.82,151.0,67.0,85.0,303.0,20.0,12.0,3.0,36.0,0.0,91.0,59.0,131.0,198.0,14.0,30.0,88.0,7.0,6.0,27.0,148.0,45.0,25.0,4.19,5.37,9.47,3.0,4.0,13.0,303.0,218.0,218.0,7.0,3.51,2.28,2.16,20.39,20.39,19.53,27.38,3.68,1.49,3.41,0.83,7.99,17.61,3.64,3.68,3.64,25.0,10.0,10.0,45.0,1.0,2.0,0.0,0.0,0.0,9.0,23.0,24.0,34.0,6.0,12.0,102.0,23.0,26.0,11.0,17.0,13.0,5.0,0.49,1.89,1.31,1.0,0.0,0.0,45.0,35.0,35.0,10.0,0.34,0.4,0.4,3.61,3.61,3.61
COL,2023,COL,COL,Team Level,other,39,0.6,0.5,0.5,4854.0,72.91,21.69,4.69,11.84,2.44,38.58,25.77,20.52,21.69,20.52,67.0,38.0,30.0,135.0,18.0,2.0,0.0,14.0,0.0,38.0,33.0,49.0,87.0,5.0,13.0,66.0,6.0,9.0,14.0,49.0,22.0,34.0,1.95,2.75,16.99,2.0,1.0,15.0,135.0,105.0,105.0,7.0,1.49,0.48,0.48,22.7,22.7,21.42,77.79,14.49,6.52,15.37,2.72,41.25,22.64,13.21,14.49,13.21,77.0,26.0,34.0,137.0,13.0,14.0,3.0,11.0,0.0,41.0,24.0,64.0,90.0,7.0,14.0,73.0,11.0,10.0,14.0,53.0,26.0,24.0,1.75,3.3,9.45,4.0,1.0,8.0,137.0,103.0,103.0,5.0,1.88,3.82,3.82,12.56,12.56,11.76
COL,2023,COL,COL,Team Level,all,39,0.54,0.53,0.53,141811.0,1306.33,144.4,91.41,305.71,43.23,710.14,507.11,135.04,144.8,135.45,1250.0,552.0,709.0,2511.0,143.0,118.0,20.0,278.0,3.0,628.0,632.0,1107.0,1659.0,146.0,317.0,1111.0,637.0,298.0,312.0,1269.0,368.0,165.0,37.49,44.2,62.7,44.0,48.0,51.0,2530.12,1802.0,1812.7,139.0,20.63,29.84,29.84,135.19,135.66,130.54,1190.86,124.24,83.55,277.59,38.97,624.7,454.02,115.57,124.57,115.78,1122.0,482.0,598.0,2202.0,118.0,116.0,13.0,218.0,4.0,549.0,599.0,1004.0,1486.0,166.0,358.0,1139.0,650.0,274.0,225.0,1151.0,294.0,159.0,32.09,36.92,55.24,39.0,37.0,42.0,2197.22,1604.0,1602.66,111.0,18.89,29.05,29.05,114.0,114.16,110.49
COL,2023,COL,COL,Team Level,5on5,39,0.52,0.53,0.52,111180.0,970.37,86.12,64.27,242.82,32.53,523.62,386.65,82.86,86.52,83.27,928.0,408.0,573.0,1909.0,86.0,91.0,13.0,213.0,2.0,466.0,478.0,842.0,1250.0,130.0,279.0,834.0,589.0,239.0,242.0,984.0,266.0,86.0,29.21,31.8,25.11,34.0,37.0,15.0,1928.12,1336.0,1346.7,117.0,13.38,19.8,19.8,79.7,80.16,78.76,900.24,78.8,58.78,220.22,29.2,473.35,355.71,75.26,79.13,75.47,840.0,377.0,468.0,1685.0,78.0,79.0,10.0,175.0,2.0,406.0,477.0,762.0,1139.0,137.0,300.0,833.0,609.0,226.0,187.0,916.0,210.0,91.0,25.47,26.53,26.81,34.0,27.0,17.0,1680.22,1217.0,1215.66,100.0,12.25,19.35,19.6,71.38,71.54,70.13
COL,2023,COL,COL,Team Level,4on5,39,0.13,0.15,0.17,12384.0,34.92,3.74,1.85,4.76,0.99,10.59,24.06,3.7,3.74,3.7,36.0,10.0,9.0,55.0,5.0,2.0,0.0,3.0,0.0,4.0,32.0,31.0,41.0,6.0,15.0,82.0,30.0,41.0,13.0,30.0,12.0,4.0,1.0,1.45,1.29,0.0,3.0,2.0,55.0,46.0,46.0,11.0,0.43,0.34,0.34,3.82,3.82,3.82,171.1,25.34,15.82,36.17,5.43,97.74,50.5,21.84,25.34,21.84,161.0,70.0,91.0,322.0,21.0,18.0,0.0,29.0,1.0,94.0,68.0,140.0,210.0,15.0,30.0,123.0,5.0,5.0,17.0,152.0,47.0,32.0,4.14,5.71,15.5,1.0,7.0,13.0,322.0,231.0,231.0,2.0,4.2,4.76,4.51,25.03,25.03,23.69
COL,2023,COL,COL,Team Level,5on4,39,0.85,0.88,0.86,13393.0,228.12,32.85,20.6,46.29,7.28,137.36,70.63,27.95,32.85,27.95,219.0,96.0,97.0,412.0,34.0,23.0,7.0,48.0,1.0,120.0,89.0,185.0,281.0,5.0,10.0,129.0,12.0,9.0,43.0,206.0,68.0,41.0,5.34,8.2,19.32,8.0,7.0,19.0,412.0,315.0,315.0,4.0,5.34,9.21,9.21,28.98,28.98,26.54,41.73,5.6,2.43,5.83,1.62,12.36,25.16,5.25,5.6,5.25,44.0,9.0,5.0,58.0,6.0,5.0,0.0,3.0,1.0,8.0,30.0,38.0,47.0,7.0,14.0,110.0,25.0,33.0,7.0,30.0,11.0,12.0,0.74,1.38,3.48,0.0,2.0,4.0,58.0,53.0,53.0,4.0,0.56,1.13,1.13,5.03,5.03,4.92
ARI,2023,ARI,ARI,Team Level,other,37,0.47,0.46,0.46,5881.0,66.07,15.82,4.59,11.59,2.08,34.78,22.13,15.04,15.82,15.04,58.0,33.0,32.0,123.0,7.0,5.0,2.0,4.0,0.0,40.0,35.0,51.0,84.0,4.0,8.0,49.0,21.0,16.0,9.0,47.0,20.0,24.0,1.64,2.56,11.62,2.0,0.0,5.0,123.0,91.0,91.0,3.0,1.3,1.64,1.64,15.49,15.49,14.83,76.28,17.78,5.59,13.37,2.75,43.89,22.61,16.1,17.78,16.1,70.0,36.0,41.0,147.0,12.0,6.0,0.0,12.0,0.0,47.0,29.0,58.0,94.0,4.0,8.0,64.0,11.0,8.0,6.0,53.0,26.0,27.0,2.1,3.23,12.45,4.0,1.0,7.0,147.0,106.0,106.0,5.0,1.71,1.66,1.5,17.99,17.99,16.71
ARI,2023,ARI,ARI,Team Level,all,37,0.48,0.47,0.47,134608.0,1074.1,116.1,76.53,249.69,36.32,586.58,415.78,111.71,116.29,111.9,1002.0,479.0,551.0,2032.0,110.0,111.0,13.0,206.0,6.0,518.0,530.0,892.0,1371.0,145.0,326.0,965.0,624.0,190.0,303.0,1065.0,283.0,133.0,31.53,35.65,48.93,34.0,36.0,40.0,2033.35,1481.0,1481.27,152.0,17.1,21.12,21.21,112.0,112.24,109.72,1209.8,123.57,82.58,291.35,41.64,655.94,477.93,115.11,124.34,115.89,1154.0,519.0,599.0,2272.0,108.0,121.0,13.0,242.0,6.0,558.0,638.0,1046.0,1565.0,156.0,345.0,1113.0,763.0,226.0,250.0,1228.0,299.0,146.0,34.53,36.57,52.46,42.0,30.0,36.0,2281.86,1673.0,1685.16,110.0,18.61,24.62,24.62,117.56,118.03,112.49
ARI,2023,ARI,ARI,Team Level,5on5,37,0.48,0.47,0.47,107087.0,822.49,72.42,56.17,201.83,28.2,447.59,329.78,70.06,72.61,70.24,762.0,374.0,444.0,1580.0,72.0,94.0,10.0,177.0,4.0,384.0,405.0,690.0,1064.0,128.0,289.0,743.0,569.0,154.0,260.0,851.0,211.0,74.0,24.75,26.85,20.82,30.0,26.0,16.0,1581.35,1136.0,1136.27,136.0,11.68,16.8,17.07,67.03,67.26,66.22,927.99,79.41,60.08,235.74,31.94,497.08,378.75,76.06,80.18,76.84,874.0,409.0,474.0,1757.0,69.0,97.0,10.0,186.0,5.0,413.0,513.0,805.0,1214.0,144.0,316.0,842.0,712.0,201.0,209.0,973.0,228.0,82.0,27.44,28.02,23.95,34.0,20.0,15.0,1766.86,1283.0,1295.16,99.0,12.49,19.84,19.91,71.99,72.46,71.34
ARI,2023,ARI,ARI,Team Level,4on5,37,0.08,0.1,0.1,10200.0,19.69,1.97,1.29,2.99,0.78,7.38,13.59,1.97,1.97,1.97,21.0,7.0,8.0,36.0,3.0,0.0,0.0,0.0,0.0,6.0,19.0,18.0,25.0,7.0,14.0,82.0,24.0,13.0,9.0,19.0,8.0,1.0,0.46,1.23,0.29,0.0,2.0,1.0,36.0,28.0,28.0,9.0,0.29,0.0,0.0,2.26,2.26,2.26,176.12,23.78,15.49,38.24,6.08,105.68,55.74,20.35,23.78,20.35,178.0,67.0,79.0,324.0,22.0,17.0,3.0,42.0,1.0,94.0,69.0,156.0,223.0,5.0,12.0,109.0,7.0,5.0,26.0,175.0,35.0,35.0,4.23,4.03,15.52,2.0,7.0,13.0,324.0,245.0,245.0,1.0,4.08,3.03,3.13,24.73,24.73,21.59
ARI,2023,ARI,ARI,Team Level,5on4,37,0.91,0.87,0.85,11440.0,165.85,25.89,14.47,33.28,5.26,96.83,50.28,24.64,25.89,24.64,161.0,65.0,67.0,293.0,28.0,12.0,1.0,25.0,2.0,88.0,71.0,133.0,198.0,6.0,15.0,91.0,10.0,7.0,25.0,148.0,44.0,34.0,4.67,5.02,16.19,2.0,8.0,18.0,293.0,226.0,226.0,4.0,3.83,2.68,2.5,27.22,27.22,26.41,29.41,2.6,1.41,4.0,0.87,9.28,20.83,2.59,2.6,2.59,32.0,7.0,5.0,44.0,5.0,1.0,0.0,2.0,0.0,4.0,27.0,27.0,34.0,3.0,9.0,98.0,33.0,12.0,9.0,27.0,10.0,2.0,0.76,1.3,0.54,2.0,2.0,1.0,44.0,39.0,39.0,5.0,0.32,0.08,0.08,2.85,2.85,2.84
NYI,2023,NYI,NYI,Team Level,other,38,0.3,0.37,0.36,4992.0,57.06,8.58,3.74,10.43,1.88,29.05,24.32,8.26,8.58,8.26,52.0,26.0,27.0,105.0,6.0,3.0,1.0,9.0,0.0,21.0,39.0,46.0,72.0,7.0,14.0,61.0,8.0,10.0,12.0,52.0,15.0,11.0,2.09,1.8,4.69,1.0,2.0,3.0,105.0,78.0,78.0,7.0,1.0,1.1,1.1,8.48,8.48,8.22,102.32,20.5,7.51,19.88,3.7,53.95,33.46,17.69,20.5,17.69,101.0,38.0,43.0,182.0,21.0,15.0,3.0,14.0,0.0,43.0,46.0,80.0,118.0,2.0,4.0,64.0,10.0,10.0,14.0,74.0,36.0,29.0,2.65,4.47,13.38,3.0,4.0,14.0,182.0,139.0,139.0,4.0,2.27,5.08,4.43,18.33,18.33,17.15
NYI,2023,NYI,NYI,Team Level,all,38,0.46,0.45,0.46,139107.0,1187.05,114.52,78.88,291.41,40.71,625.98,470.5,109.19,115.31,109.96,1137.0,485.0,586.0,2208.0,118.0,138.0,19.0,208.0,1.0,528.0,629.0,1019.0,1504.0,125.0,267.0,1132.0,737.0,252.0,324.0,1196.0,283.0,143.0,32.66,36.2,45.66,45.0,41.0,32.0,2229.91,1622.0,1639.29,159.0,17.36,30.76,30.76,101.12,101.71,99.55,1408.49,135.12,94.94,344.23,47.78,757.71,553.23,127.87,134.48,127.26,1340.0,593.0,811.0,2744.0,122.0,157.0,16.0,243.0,2.0,726.0,683.0,1218.0,1811.0,117.0,249.0,1102.0,577.0,244.0,321.0,1455.0,318.0,160.0,39.34,40.09,55.69,38.0,42.0,42.0,2717.85,1933.0,1914.84,143.0,21.24,32.32,32.72,123.65,123.06,119.8
NYI,2023,NYI,NYI,Team Level,5on5,38,0.49,0.45,0.47,115361.0,972.23,85.56,62.79,248.74,33.78,511.1,387.03,81.1,86.35,81.87,929.0,400.0,487.0,1816.0,79.0,124.0,11.0,177.0,1.0,443.0,505.0,850.0,1250.0,103.0,223.0,882.0,709.0,215.0,271.0,993.0,230.0,106.0,26.42,29.96,29.17,36.0,30.0,13.0,1837.91,1329.0,1346.3,136.0,13.11,24.73,25.0,73.67,74.26,72.79,1098.47,87.59,70.37,281.35,37.27,592.71,443.72,84.46,86.94,83.86,1037.0,476.0,674.0,2187.0,74.0,116.0,11.0,201.0,2.0,571.0,549.0,963.0,1439.0,105.0,225.0,872.0,537.0,200.0,288.0,1191.0,232.0,90.0,31.82,29.48,26.3,32.0,29.0,13.0,2160.85,1513.0,1494.84,133.0,14.55,22.74,23.49,78.64,78.06,76.75
NYI,2023,NYI,NYI,Team Level,4on5,38,0.1,0.09,0.12,9626.0,24.83,2.56,1.25,3.26,0.7,7.39,16.84,2.51,2.56,2.51,28.0,4.0,1.0,33.0,8.0,0.0,0.0,1.0,0.0,3.0,20.0,20.0,24.0,4.0,8.0,90.0,14.0,19.0,15.0,22.0,8.0,2.0,0.81,1.08,0.68,4.0,3.0,1.0,33.0,32.0,32.0,11.0,0.28,0.0,0.0,2.85,2.85,2.78,174.3,24.37,15.61,37.41,5.72,100.78,53.12,23.35,24.37,23.35,168.0,69.0,90.0,327.0,27.0,22.0,2.0,25.0,0.0,98.0,65.0,141.0,210.0,8.0,16.0,89.0,10.0,11.0,14.0,154.0,46.0,37.0,3.91,5.63,14.83,3.0,9.0,15.0,327.0,237.0,237.0,2.0,4.09,3.52,4.12,24.34,24.34,23.6
NYI,2023,NYI,NYI,Team Level,5on4,38,0.87,0.84,0.81,9128.0,132.94,17.81,11.11,28.99,4.35,78.43,42.31,17.32,17.81,17.32,128.0,55.0,71.0,254.0,25.0,11.0,7.0,21.0,0.0,61.0,65.0,103.0,158.0,11.0,22.0,99.0,6.0,8.0,26.0,129.0,30.0,24.0,3.34,3.36,11.11,4.0,6.0,15.0,254.0,183.0,183.0,5.0,2.96,4.93,4.65,16.12,16.12,15.75,33.4,2.67,1.45,5.59,1.09,10.27,22.94,2.36,2.67,2.36,34.0,10.0,4.0,48.0,0.0,4.0,0.0,3.0,0.0,14.0,23.0,34.0,44.0,2.0,4.0,77.0,20.0,23.0,5.0,36.0,4.0,4.0,0.97,0.51,1.19,0.0,0.0,0.0,48.0,44.0,44.0,4.0,0.33,0.98,0.67,2.33,2.33,2.3
SJS,2023,SJS,SJS,Team Level,other,39,0.39,0.44,0.43,5286.0,59.4,11.88,4.41,11.22,1.96,31.88,18.65,10.75,11.88,10.75,47.0,33.0,39.0,119.0,11.0,5.0,2.0,8.0,0.0,38.0,18.0,36.0,69.0,4.0,8.0,63.0,10.0,11.0,8.0,42.0,17.0,21.0,1.68,2.15,8.06,1.0,2.0,8.0,119.0,80.0,80.0,2.0,1.31,1.57,1.57,11.62,11.62,10.72,75.66,18.96,5.55,13.06,2.44,42.14,23.86,16.92,18.96,16.92,66.0,40.0,44.0,150.0,16.0,7.0,3.0,14.0,1.0,37.0,31.0,50.0,90.0,5.0,10.0,67.0,15.0,14.0,10.0,52.0,26.0,28.0,2.36,3.21,13.39,3.0,2.0,11.0,150.0,106.0,106.0,6.0,1.66,2.23,2.23,18.39,18.39,16.48
SJS,2023,SJS,SJS,Team Level,all,39,0.39,0.42,0.42,141632.0,1040.63,98.85,71.77,254.43,36.07,565.2,411.68,94.37,97.61,93.18,989.0,449.0,612.0,2050.0,79.0,117.0,11.0,188.0,2.0,496.0,556.0,910.0,1359.0,154.0,341.0,1145.0,630.0,232.0,205.0,1056.0,260.0,122.0,28.74,32.05,38.05,27.0,29.0,23.0,2002.95,1438.0,1414.87,109.0,16.01,21.35,21.35,93.52,92.44,89.66,1426.44,154.92,102.03,325.18,47.19,784.35,553.33,146.58,157.65,149.15,1379.0,588.0,816.0,2783.0,157.0,139.0,24.0,292.0,3.0,723.0,653.0,1222.0,1810.0,122.0,277.0,1100.0,550.0,275.0,269.0,1408.0,385.0,174.0,44.33,47.5,63.1,63.0,50.0,44.0,2872.73,1967.0,2010.33,117.0,22.84,31.83,31.88,145.88,148.27,142.97
SJS,2023,SJS,SJS,Team Level,5on5,39,0.41,0.43,0.43,114582.0,821.19,68.87,53.79,209.62,28.41,445.5,329.81,66.26,67.63,65.08,788.0,348.0,492.0,1628.0,49.0,95.0,8.0,159.0,2.0,375.0,456.0,739.0,1087.0,133.0,299.0,896.0,595.0,190.0,180.0,862.0,198.0,76.0,23.08,24.71,21.09,20.0,21.0,8.0,1580.95,1136.0,1112.87,99.0,11.17,17.14,17.21,62.83,61.75,60.47,1084.82,98.06,73.86,261.11,36.04,595.34,434.59,93.82,100.8,96.4,1056.0,443.0,643.0,2142.0,104.0,106.0,14.0,238.0,2.0,547.0,502.0,952.0,1395.0,105.0,243.0,843.0,512.0,236.0,224.0,1123.0,275.0,101.0,35.07,33.85,29.15,53.0,38.0,13.0,2231.73,1499.0,1542.33,103.0,15.36,22.91,22.96,90.46,92.86,91.2
SJS,2023,SJS,SJS,Team Level,4on5,39,0.07,0.1,0.12,12305.0,30.3,2.47,1.53,4.18,0.89,9.98,21.95,2.47,2.47,2.47,32.0,9.0,4.0,45.0,2.0,0.0,0.0,2.0,0.0,13.0,24.0,30.0,39.0,7.0,14.0,97.0,18.0,23.0,7.0,33.0,4.0,4.0,0.88,0.55,1.04,2.0,0.0,0.0,45.0,41.0,41.0,7.0,0.35,0.0,0.0,2.81,2.81,2.81,224.04,33.22,20.51,44.81,7.35,133.77,66.33,31.36,33.22,31.36,213.0,93.0,118.0,424.0,33.0,20.0,5.0,37.0,0.0,133.0,83.0,180.0,273.0,10.0,20.0,117.0,4.0,7.0,27.0,194.0,74.0,38.0,5.6,9.1,18.52,6.0,8.0,19.0,424.0,306.0,306.0,2.0,5.34,5.38,5.38,33.17,33.17,31.5
